index,track_name,labels
0,Comedy,1
1,Ghost - Acoustic,2
2,To Begin Again,2
3,Can't Help Falling In Love,2
4,Hold On,0
5,Days I Will Remember,0
6,Say Something,2
7,I'm Yours,0
8,Lucky,0
9,Hunger,0
10,Give Me Your Forever,0
11,I Won't Give Up,2
12,Solo,2
13,Bad Liar,2
14,Hold On - Remix,0
15,Falling in Love at a Coffee Shop,0
16,ily (i love you baby),2
17,At My Worst,2
18,Lucky,0
19,Photograph,2
20,I'm Yours,0
21,Demons,0
22,Say Something,2
23,93 Million Miles,0
24,Unlonely,1
25,Bella Luna,1
26,Winter Wonderland,2
27,If It Kills Me,1
28,Winter Wonderland,2
29,Winter Wonderland,2
30,Winter Wonderland,2
31,Winter Wonderland,2
32,All I Want For Christmas Is A Real Good Tan,0
33,Party of One,2
34,Party of One,2
35,Party of One,2
36,Lonely This Christmas,2
37,Throwing Good After Bad,2
38,This Time Tomorrow,2
39,Lonely This Christmas,2
40,The Haves,0
41,When You're Wrong,2
42,You and Me on the Rock,0
43,You and Me on the Rock,0
44,"Speak Your Mind (From the Netflix Series ""We The People"")",0
45,You and Me on the Rock,0
46,You and Me on the Rock,0
47,You and Me on the Rock,0
48,You and Me on the Rock,0
49,You and Me on the Rock,0
50,Trampoline - Acoustic,2
51,透明だった世界,0
52,Pieces,1
53,A Drop in the Ocean,2
54,So Far Away - Acoustic,2
55,The Enemy,0
56,Build It Better,2
57,Sleepwalking in the Rain,2
58,Gravity,2
59,What's Left of You,0
60,Pano,2
61,Sky's Still Blue,1
62,And I Love Her,2
63,We Can't Stop,2
64,Always Be My Baby,2
65,Alone with You,2
66,Making All Things New,2
67,She Used To Be Mine,2
68,In My Veins - Feat. Erin Mccarley,0
69,I Don't Wanna Live Forever (Fifty Shades Darker),2
70,A Drop In the Ocean,0
71,Superman (It's Not Easy),0
72,When the End Comes,0
73,You're Still The One,0
74,Light Me Up,0
75,93 Million Miles,0
76,Kaleidoscope,0
77,The Long Road,2
78,What Would I Do Without You,2
79,Have It All,1
80,Heavy Heart,1
81,The House We Never Built,2
82,Society,2
83,Please Don't Say You Love Me,2
84,Please Don't Say You Love Me,2
85,Guaranteed,2
86,Brave,1
87,Lonely This Christmas,2
88,Lonely This Christmas,2
89,Heaven Knows,0
90,I Heard The Bells On Christmas Day,2
91,I Heard The Bells On Christmas Day,2
92,Fairytale Of New York,0
93,I Heard The Bells On Christmas Day,2
94,I Heard The Bells On Christmas Day,2
95,I Heard The Bells On Christmas Day,2
96,I Heard The Bells On Christmas Day,2
97,I Heard The Bells On Christmas Day,2
98,Hold On,1
99,Suddenly I See,0
100,Rain,0
101,Somebody Else - Acoustic,1
102,Pieces (Hushed),2
103,Mirrors,0
104,Stand by Me,2
105,Losing Me,0
106,なんでもないや - movie ver.,2
107,You’re Beautiful - Acoustic,2
108,Hikare Inochi,0
109,How To Lose a Girl,2
110,Can’t Help Falling in Love,2
111,Dive Deep (Hushed),2
112,When the Party's over (Acoustic Piano),2
113,Boston,0
114,Living in the Shadows,1
115,In Case You Didn’t Know,2
116,death bed (coffee for your head),2
117,You Are My Sunshine,2
118,I Won't Give Up,2
119,I Was Born To Love You,2
120,Only Love Can Hurt Like This,2
121,Mr Blue,2
122,Do Not Let Me Go,2
123,Holding On And Letting Go,2
124,You Already Know,2
125,Believer (Remix),1
126,Collide - Acoustic Version,2
127,Love Like This,2
128,Come On Get Higher,0
129,"""Something In the Rain"" (Something In the Rain, Pt. 1) [Music from the Original TV Series]",2
130,Kiss Me Slowly,0
131,Without You,0
132,Absolutely Zero,0
133,Sleep All Day,0
134,You and I Both,0
135,Long Nights,2
136,Please Don't Say You Love Me,2
137,Suddenly I See,0
138,Who Needs Shelter,1
139,No Stopping Us,0
140,I'll Do Anything,0
141,Make You Feel My Love,2
142,The Remedy (I Won't Worry),0
143,Too Much Food,0
144,The Boy's Gone,1
145,"On Love, in Sadness",0
146,Curbside Prophet,0
147,"Tonight, Not Again - Live",2
148,"Tonight, Not Again",0
149,Hard Sun,0
150,Here with Me,2
151,The Scientist,2
152,Collide,0
153,get better,2
154,Sympathy,1
155,Let It Go,2
156,What You Need,2
157,100 Years,0
158,You're the Sea,1
159,No Direction,0
160,Belong,2
161,As It Was,2
162,I'm Yours,0
163,Chi Mai,2
164,Say Something,2
165,Had It All,1
166,Take Me Back ft. Yonnyboii,0
167,Whole Again - Acoustic Version,2
168,Overpass Graffiti,2
169,Love Song,1
170,Let Her Go,2
171,Brighter Than Sunshine,1
172,Love Story,2
173,Mujer con Abanico,2
174,In the Shadows,1
175,Can You Feel the Love Tonight,2
176,The Story,0
177,Better,2
178,Iris,2
179,Rockabye - Acoustic Version,2
180,I Need You More Today,0
181,Beautiful Soul,0
182,Let's See What The Night Can Do,0
183,"La La La (Something In the Rain, Pt. 2) [Music from the Original TV Series]",2
184,Forever And Always,0
185,Fine On The Outside,2
186,Tortured Soul,2
187,I Believe in You,0
188,At Home,2
189,"Portland, Maine",2
190,Holding On and Letting Go,2
191,The Flood,2
192,Hanggang Kailan (Umuwi Ka Na Baby),2
193,Out of My League,2
194,Say Something,2
195,Rise,2
196,World Spins Madly On,2
197,Stumble,0
198,Paradise,0
199,"Moonlight, Mistletoe & You",0
200,ひまわりの約束,0
201,Since U Been Gone - Acoustic Version,2
202,"One more time,One more chance",1
203,Creep,2
204,Higher Love,0
205,Hyouriittai,1
206,How Long Will I Love You,2
207,Binibini,0
208,You Were Supposed to Be Different,2
209,Thinking out Loud,0
210,Perfect / Style,2
211,Poison & Wine,2
212,Collide,0
213,You And I,2
214,Give Me Your Forever (ft. Billkin),0
215,Falling in Love at a Coffee Shop,2
216,Breathe (2 AM),0
217,Habang Buhay,0
218,Beautiful Soul,2
219,Bulletproof,0
220,Spectrum,0
221,Girls Like You - Acoustic Version,2
222,Nangangamba,0
223,Better Together,0
224,Heartbreak Anniversary,2
225,One More Time Around,2
226,Say Something,2
227,Heart Can’t Lose,0
228,I Ain't Ever Loved No One - Acoustic,2
229,Empty,2
230,"See You Again, Love Me Like You Do, Sugar - Acoustic Mashup",2
231,The Reason,2
232,Fix You,2
233,Hand to Hold,2
234,Hold You in My Arms,0
235,One Last Dance,2
236,Heaven,2
237,The Spark - Bonus Track,2
238,American Beauty,2
239,Such A Simple Thing,2
240,Colors,2
241,Someone You Loved,0
242,More Than Friends (feat. Meghan Trainor),0
243,Flurry Rush,0
244,I Choose You,1
245,I Do Adore,0
246,I'll Be Home For Christmas,2
247,Fuck You,0
248,Christmas Comes But Once A Year,2
249,Christmas Comes But Once A Year,2
250,If I Ain't Got You - Acoustic,2
251,Believe - Acoustic,2
252,Iris - Acoustic,2
253,Rain - Long Ver.,0
254,C'est si bon,2
255,Baby (Acoustic Version),2
256,Reason,0
257,I Like Me Better,2
258,Asan Ka Na Ba,1
259,A Thousand Years,2
260,drivers license,2
261,Love Someone,2
262,The Winner Takes It All - Acoustic,2
263,Only Time,2
264,Almost Lover,2
265,Dance Monkey,2
266,Ocean,0
267,Dream a Little Dream of Me,2
268,Back For Good,2
269,OK,2
270,Just The Two Of Us,2
271,Hey There Delilah,2
272,Arcade,2
273,Yellow,2
274,Wake Me Up,2
275,Walking Blind,2
276,Headphones,0
277,Teenage Dream,0
278,The Worth Of The Wait,0
279,Can't Help Falling In Love - Piano Version,2
280,Never Come Back Again,0
281,Love You To Death,2
282,Someone You Loved - Acoustic,2
283,What a Wonderful World,2
284,You Broke Me First,2
285,Long Way Down,2
286,She Is Love,2
287,Marigold,0
288,12:51,2
289,サンサーラ,2
290,Sons and Daughters,1
291,Brand New,0
292,Gotta Have You,2
293,"30,000 Feet",0
294,A Thousand Years,2
295,Jolene,2
296,No Ceiling,0
297,Front Porch,2
298,Goodbye Lulu,0
299,Three More Days,1
300,Isn't She Lovely - Acoustic,2
301,We Could Still Be Happy,2
302,Fix You - Acoustic,2
303,I'm Yours - Acoustic,2
304,Closer,0
305,A Sky Full of Stars,2
306,I Don't Believe in Satan,1
307,Pills,2
308,Shallow - Acoustic,2
309,Watermelon Sugar - Acoustic,2
310,Say You Won't Let Go - Acoustic,2
311,Hikare Inochi,0
312,Call You Mine (Acoustic Piano),2
313,For Now,2
314,Sweet Dream,2
315,Love Nwantiti,2
316,Stars Are on Your Side,2
317,We Don't Talk Anymore / Cold (feat. Sara Phillips),2
318,Superman,0
319,Chasing Cars,2
320,Calm Me Down,0
321,KISSして,0
322,Binibini (Last Day On Earth) (feat. James TW),0
323,Left for America,2
324,Ramparts,2
325,Hold On - Acoustic,2
326,Dust to Dust,2
327,Good night,0
328,As You Are,1
329,Binibini,0
330,It Aint Me,0
331,Say Something,2
332,The Lotto,0
333,Tamacun,0
334,Make It Without You,2
335,Dream,2
336,"Big Love, Small Moments",2
337,I Am Not Alone,2
338,Stand Your Ground,0
339,Perfect Man,0
340,あ。っという間はあるさ,0
341,Tell The World,0
342,Ain't No Reason,0
343,A Month from Now,1
344,What If,0
345,Pussy Cat,0
346,Polaroid Picture,0
347,I Bet On Flying High,2
348,I Bet On Flying High,2
349,I Bet On Flying High,2
350,Mirrors - Acoustic,2
351,To the Wonder (feat. Kina Grannis),2
352,Stay - Acoustic,2
353,太陽さん,2
354,Oh What A Love,2
355,Leave The Lights On,1
356,I Won't Let You Down,2
357,Look For The Good (Single Version),0
358,Stargazing,2
359,Bad Liar,2
360,Is It You,0
361,Slow Down Time,0
